subgroup_code,event_class,baseline_annual_rate,rate_low,rate_high,source,source_url,vintage_year,confidence_tier
obesity_all,mace,0.008,0.0055,0.011,"Analyst-derived annual INCIDENCE (new events per year, not prevalence). Anchored on the SELECT secondary-prevention rate and scaled by published relative-risk gradients across cardiometabolic risk states. A modelling assumption reconciling several literatures rather than an observed rate in this exact subgroup; swept in sensitivity analysis.",,,C
obesity_all,incident_t2d,0.015,0.01,0.021,"Annual INCIDENCE of type 2 diabetes among adults with obesity who do not already have it, derived from the placebo arms of the obesity pharmacotherapy trials that report progression from prediabetes — SCALE Obesity and Prediabetes recorded 6% of the placebo arm developing type 2 diabetes over 160 weeks. Scaled down for unselected obesity and up for the higher-risk subgroups. A modelling assumption.",,,C
obesity_all,hospitalisation,0.09,0.065,0.12,"Annual all-cause hospitalisation INCIDENCE, derived from published admission rates for adults with obesity and the comorbidity concerned. Used only to value the admissions an avoided event would have carried; a modelling assumption.",,,C
obesity_all,hypertension,0.035,0.022,0.05,"Annual INCIDENCE of newly diagnosed hypertension among adults with obesity who do not already have it, derived from cohort-reported incidence gradients by BMI. Subgroups that already carry hypertension have no row, because a condition already present cannot be newly incident.",,,C
obesity_all,osa_progression,0.04,0.025,0.06,Annual INCIDENCE of progression to moderate-severe obstructive sleep apnoea requiring escalated management. Derived from published apnoea-hypopnoea index trajectories with weight change; a modelling assumption.,,,C
diabesity,mace,0.018,0.013,0.024,"Analyst-derived annual INCIDENCE (new events per year, not prevalence). Anchored on the SELECT secondary-prevention rate and scaled by published relative-risk gradients across cardiometabolic risk states. A modelling assumption reconciling several literatures rather than an observed rate in this exact subgroup; swept in sensitivity analysis.",,,C
diabesity,hospitalisation,0.13,0.095,0.17,"Annual all-cause hospitalisation INCIDENCE, derived from published admission rates for adults with obesity and the comorbidity concerned. Used only to value the admissions an avoided event would have carried; a modelling assumption.",,,C
diabesity,hypertension,0.05,0.033,0.07,"Annual INCIDENCE of newly diagnosed hypertension among adults with obesity who do not already have it, derived from cohort-reported incidence gradients by BMI. Subgroups that already carry hypertension have no row, because a condition already present cannot be newly incident.",,,C
cvd_mace_risk,mace,0.024,0.021,0.028,"SELECT (NCT03574597, Lincoff et al., N Engl J Med 2023): the placebo arm recorded a primary MACE incidence of 8.0% over a mean 39.8-month follow-up in adults with overweight or obesity and established cardiovascular disease, which annualises to roughly 2.4% under a constant-hazard assumption. This is an INCIDENCE — new events per year — not a prevalence.",https://www.nejm.org/doi/full/10.1056/NEJMoa2307563,2023,A
cvd_mace_risk,incident_t2d,0.022,0.015,0.03,"Annual INCIDENCE of type 2 diabetes among adults with obesity who do not already have it, derived from the placebo arms of the obesity pharmacotherapy trials that report progression from prediabetes — SCALE Obesity and Prediabetes recorded 6% of the placebo arm developing type 2 diabetes over 160 weeks. Scaled down for unselected obesity and up for the higher-risk subgroups. A modelling assumption.",,,C
cvd_mace_risk,hospitalisation,0.18,0.14,0.23,"Annual all-cause hospitalisation INCIDENCE, derived from published admission rates for adults with obesity and the comorbidity concerned. Used only to value the admissions an avoided event would have carried; a modelling assumption.",,,C
htn_osa,mace,0.006,0.004,0.009,"Analyst-derived annual INCIDENCE (new events per year, not prevalence). Anchored on the SELECT secondary-prevention rate and scaled by published relative-risk gradients across cardiometabolic risk states. A modelling assumption reconciling several literatures rather than an observed rate in this exact subgroup; swept in sensitivity analysis.",,,C
htn_osa,incident_t2d,0.022,0.015,0.03,"Annual INCIDENCE of type 2 diabetes among adults with obesity who do not already have it, derived from the placebo arms of the obesity pharmacotherapy trials that report progression from prediabetes — SCALE Obesity and Prediabetes recorded 6% of the placebo arm developing type 2 diabetes over 160 weeks. Scaled down for unselected obesity and up for the higher-risk subgroups. A modelling assumption.",,,C
htn_osa,hospitalisation,0.095,0.07,0.13,"Annual all-cause hospitalisation INCIDENCE, derived from published admission rates for adults with obesity and the comorbidity concerned. Used only to value the admissions an avoided event would have carried; a modelling assumption.",,,C
htn_osa,osa_progression,0.09,0.06,0.13,Annual INCIDENCE of progression to moderate-severe obstructive sleep apnoea requiring escalated management. Derived from published apnoea-hypopnoea index trajectories with weight change; a modelling assumption.,,,C
severe_obesity,mace,0.009,0.006,0.013,"Analyst-derived annual INCIDENCE (new events per year, not prevalence). Anchored on the SELECT secondary-prevention rate and scaled by published relative-risk gradients across cardiometabolic risk states. A modelling assumption reconciling several literatures rather than an observed rate in this exact subgroup; swept in sensitivity analysis.",,,C
severe_obesity,incident_t2d,0.028,0.019,0.038,"Annual INCIDENCE of type 2 diabetes among adults with obesity who do not already have it, derived from the placebo arms of the obesity pharmacotherapy trials that report progression from prediabetes — SCALE Obesity and Prediabetes recorded 6% of the placebo arm developing type 2 diabetes over 160 weeks. Scaled down for unselected obesity and up for the higher-risk subgroups. A modelling assumption.",,,C
severe_obesity,hospitalisation,0.12,0.09,0.16,"Annual all-cause hospitalisation INCIDENCE, derived from published admission rates for adults with obesity and the comorbidity concerned. Used only to value the admissions an avoided event would have carried; a modelling assumption.",,,C
severe_obesity,hypertension,0.055,0.036,0.076,"Annual INCIDENCE of newly diagnosed hypertension among adults with obesity who do not already have it, derived from cohort-reported incidence gradients by BMI. Subgroups that already carry hypertension have no row, because a condition already present cannot be newly incident.",,,C
severe_obesity,osa_progression,0.1,0.07,0.14,Annual INCIDENCE of progression to moderate-severe obstructive sleep apnoea requiring escalated management. Derived from published apnoea-hypopnoea index trajectories with weight change; a modelling assumption.,,,C
