drug_id,dose_amount,dose_unit,units_per_admin,admins_per_year,wastage_pct,persistence_12m,source,confidence_tier
1,2.4,mg,2.4,52,0,0.586,"FDA label maintenance dose (Wegovy, semaglutide 2.4 mg SC once weekly). Persistence: Prime Therapeutics 2024 claims analysis, semaglutide anti-obesity 1-year persistence 58.6% (H1 2024), https://pmc.ncbi.nlm.nih.gov/articles/PMC12948759/",C
2,10,mg,10,52,0,0.648,"FDA label dose range 2.5-15 mg SC once weekly (Zepbound, tirzepatide); 10 mg used as a representative maintenance dose. Persistence: Prime Therapeutics 2024 claims analysis, tirzepatide anti-obesity 1-year persistence 64.8% (H1 2024), https://pmc.ncbi.nlm.nih.gov/articles/PMC12948759/",C
3,3.0,mg,3.0,365,0,0.35,"FDA label maintenance dose (Saxenda, liraglutide 3.0 mg SC once daily). Persistence: no direct 12-month RCT/claims figure located; estimated below the weekly semaglutide/tirzepatide obesity figures because daily-injection GLP-1s show materially lower real-world persistence than weekly formulations in the broader adherence literature — an informed estimate, not a cited observation.",C
4,120,mg,120,1095,0,0.30,"FDA label dose (orlistat 120 mg orally three times daily with meals; 3 x 365 = 1095 administrations/year). Persistence: 12-month obesity-treatment dropout is reported as heterogeneous (10-80%) and orlistat-specific long-term adherence is poor — only 52% of the orlistat arm completed the 4-year XENDOS trial; 0.30 is a mid-low estimate consistent with that literature, https://pubmed.ncbi.nlm.nih.gov/10757623/",C
6,1,mg,1,52,0,0.50,"FDA label dose range 0.5-2 mg SC once weekly (Ozempic, semaglutide); 1 mg used as a representative maintenance dose. Persistence: Danish national registry, 48.6% adherent at 12 months, and US administrative claims, 50.9% adherent at 12 months, for GLP-1 receptor agonists in type 2 diabetes; 0.50 is the approximate midpoint.",C
7,10,mg,10,52,0,0.50,"FDA label dose range 5-15 mg SC once weekly (Mounjaro, tirzepatide); 10 mg used as a representative maintenance dose. No tirzepatide-specific diabetes persistence study located; 0.50 carried over from the semaglutide/dulaglutide GLP-1RA diabetes persistence range (Danish/US claims studies, ~48-51% at 12 months) as an informed estimate.",C
8,1.5,mg,1.5,52,0,0.52,"FDA label maintenance dose (Trulicity, dulaglutide 1.5 mg SC once weekly, the most commonly prescribed maintenance dose). Persistence: Italian retrospective cohort found dulaglutide had the highest 6-month persistence (62%) among compared GLP-1 receptor agonists; 0.52 is a conservative 12-month estimate extrapolated from that relative finding, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6104260/",C
9,1000,mg,1000,730,0,0.65,"Standard maintenance dose (metformin 1000 mg orally twice daily; 2 x 365 = 730 administrations/year). Persistence: real-world type 2 diabetes cohorts report 60-70% 12-month persistence for metformin monotherapy (Spanish retrospective cohort ~70%); 0.65 is the midpoint, https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7277774/",C
10,24,units,24,365,0.02,0.65,"Typical basal insulin dose ~24 units/day (~0.3 units/kg/day for a 70-80kg adult, ADA Standards of Care titration guidance), once daily; 2% wastage assumed for vial/syringe priming. Persistence: reported 12-month basal insulin glargine persistence ranges approximately 55-80% depending on definition, with one continuer cohort at 64.6%; 0.65 is the approximate midpoint, https://pmc.ncbi.nlm.nih.gov/articles/PMC10338281/",C
11,18,units,18,365,0.02,0.55,"Typical mealtime bolus total ~18 units/day across 3 meals in a basal-bolus regimen; 2% wastage assumed for vial/syringe priming. Persistence: mealtime/bolus insulin regimens are consistently reported as less persistent than basal-only therapy in claims literature (multiple daily injections, hypoglycaemia burden); 0.55 is an informed estimate below the basal insulin figure, not a directly cited observation.",C
5,0,none,0,1,0,1.0,"No-pharmacotherapy comparator (M4 section 5.3 / M5 section 5.5): the treatment-naive pseudo-therapy. units_per_admin = 0 is what makes its acquisition cost zero through the ordinary M5 formula rather than a special case, and persistence_12m = 1.0 because there is no therapy to discontinue.",A
