drug_id,ae_code,incidence,exposure_weeks,population,evidence_type,source,source_url,vintage_year,confidence_tier
1,nausea,0.441,68,"Adults with BMI >= 30, or >= 27 with a weight-related comorbidity, without diabetes",trial,"STEP 1 (NCT03548935) reported results, semaglutide 2.4 mg arm. Registry figure, not transcribed from the publication.",https://clinicaltrials.gov/study/NCT03548935,2021,A
1,vomiting,0.246,68,"Adults with BMI >= 30, or >= 27 with a weight-related comorbidity, without diabetes",trial,"STEP 1 (NCT03548935) reported results, semaglutide 2.4 mg arm.",https://clinicaltrials.gov/study/NCT03548935,2021,A
1,diarrhoea,0.315,68,"Adults with BMI >= 30, or >= 27 with a weight-related comorbidity, without diabetes",trial,"STEP 1 (NCT03548935) reported results, semaglutide 2.4 mg arm.",https://clinicaltrials.gov/study/NCT03548935,2021,A
1,constipation,0.234,68,"Adults with BMI >= 30, or >= 27 with a weight-related comorbidity, without diabetes",trial,"STEP 1 (NCT03548935) reported results, semaglutide 2.4 mg arm.",https://clinicaltrials.gov/study/NCT03548935,2021,A
2,nausea,0.319,72,"Adults with BMI >= 30, or >= 27 with a weight-related complication, without diabetes",trial,"SURMOUNT-1 (NCT04184622) reported results, tirzepatide 15 mg arm (201/630). The 10 mg arm is higher at 34.1%; 15 mg is used to match the maintenance dose the price is struck at.",https://clinicaltrials.gov/study/NCT04184622,2022,A
2,vomiting,0.129,72,"Adults with BMI >= 30, or >= 27 with a weight-related complication, without diabetes",trial,"SURMOUNT-1 (NCT04184622) reported results, tirzepatide 15 mg arm (81/630).",https://clinicaltrials.gov/study/NCT04184622,2022,A
2,diarrhoea,0.237,72,"Adults with BMI >= 30, or >= 27 with a weight-related complication, without diabetes",trial,"SURMOUNT-1 (NCT04184622) reported results, tirzepatide 15 mg arm (149/630).",https://clinicaltrials.gov/study/NCT04184622,2022,A
2,constipation,0.127,72,"Adults with BMI >= 30, or >= 27 with a weight-related complication, without diabetes",trial,"SURMOUNT-1 (NCT04184622) reported results, tirzepatide 15 mg arm (80/630).",https://clinicaltrials.gov/study/NCT04184622,2022,A
3,nausea,0.408,68,"Adults with BMI >= 30, or >= 27 with comorbidity, with pre-diabetes at screening",trial,"SCALE Obesity and Prediabetes (NCT01272219) reported results, liraglutide 3.0 mg pre-diabetes arm. The no-pre-diabetes arm is 43.7%; the pre-diabetes arm is the larger of the two.",https://clinicaltrials.gov/study/NCT01272219,2015,A
3,vomiting,0.197,68,"Adults with BMI >= 30, or >= 27 with comorbidity, with pre-diabetes at screening",trial,"SCALE Obesity and Prediabetes (NCT01272219) reported results, liraglutide 3.0 mg pre-diabetes arm.",https://clinicaltrials.gov/study/NCT01272219,2015,A
3,diarrhoea,0.255,68,"Adults with BMI >= 30, or >= 27 with comorbidity, with pre-diabetes at screening",trial,"SCALE Obesity and Prediabetes (NCT01272219) reported results, liraglutide 3.0 mg pre-diabetes arm.",https://clinicaltrials.gov/study/NCT01272219,2015,A
3,constipation,0.219,68,"Adults with BMI >= 30, or >= 27 with comorbidity, with pre-diabetes at screening",trial,"SCALE Obesity and Prediabetes (NCT01272219) reported results, liraglutide 3.0 mg pre-diabetes arm.",https://clinicaltrials.gov/study/NCT01272219,2015,A
