drug_id,country_code,price_local,currency_code,price_basis,gross_to_net_pct,effective_date,source,source_url,confidence_tier
1,USA,140.522917,USD,list,,2026-08-01,"Wegovy (semaglutide) list price $1,349.02 per 28-day package (flat price across dose strengths, 4 weekly pens); converted to $/mg at the 2.4 mg maintenance dose (4 x 2.4 mg = 9.6 mg/package). Manufacturer list-price page.",https://www.novocare.com/mash/resources/explaining-list-price.html,B
2,USA,27.150000,USD,list,,2025-12-01,"Zepbound (tirzepatide) WAC $1,086.00 per 28-day supply; converted to $/mg at a 10 mg representative maintenance dose (4 x 10 mg = 40 mg/supply; approved range is 2.5-15 mg weekly). Colorado WAC disclosure sheet, accessed via manufacturer pricing portal.",https://pricinginfo.lilly.com/zepbound,B
3,USA,14.988889,USD,list,,2026-08-01,"Saxenda (liraglutide) list price ~$1,349/month (5 x 3 mL pens, 18 mg/pen = 90 mg/month at the 3.0 mg/day maintenance dose); converted to $/mg. Manufacturer list-price page. A NADAC-basis row also exists for this drug_id, reflecting actual US pharmacy acquisition cost rather than list price.",https://www.novocare.com/obesity/products/saxenda/explaining-list-price.html,B
4,USA,0.018519,USD,list,,2026-01-01,"Orlistat 120 mg cash price estimated at $200/month (90 mg TID capsules = 10,800 mg/month); converted to $/mg. Reported retail prices for orlistat vary widely by brand and formulation ($50-800/month for OTC 60 mg Alli vs Rx-strength 120 mg Xenical/generic), so this is a mid-range estimate for the 120 mg Rx strength used in this seed's regimen, not a single authoritative disclosure.",https://www.goodrx.com,C
6,USA,249.500000,USD,list,,2026-08-01,"Ozempic (semaglutide) list price ~$998/month; converted to $/mg at a 1 mg representative maintenance dose (4 x 1 mg = 4 mg/month; approved range is 0.5-2 mg weekly). Manufacturer list-price family (NovoCare).",https://www.novocare.com/patient/medicines/wegovy.html,B
7,USA,27.804000,USD,list,,2026-01-01,"Mounjaro (tirzepatide) WAC updated to $1,112.16 per 28-day supply effective January 1, 2026; converted to $/mg at a 10 mg representative maintenance dose (4 x 10 mg = 40 mg/supply; approved range is 5-15 mg weekly). Manufacturer pricing portal.",https://pricinginfo.lilly.com/mounjaro,B
8,USA,168.000000,USD,list,,2025-01-01,"Trulicity (dulaglutide) WAC ~$1,008 for 4 single-dose pens/month; converted to $/mg at the 1.5 mg weekly maintenance dose (4 x 1.5 mg = 6 mg/month). Colorado WAC Disclosure Sheet, Lilly USA, LLC, 01/2025.",https://pricinginfo.lilly.com/assets/pdf/Colorado_WAC_Disclosure_Sheet-Trulicity.pdf,B
9,USA,0.000150,USD,list,,2026-01-01,"Generic metformin cash price $4-15 for a 30-day supply of 60 x 1000 mg tablets at major US pharmacy generic programs (Walmart, Costco, CVS, Walgreens); $9 midpoint used, converted to $/mg (60,000 mg/month at the 1000 mg BID regimen).",https://www.goodrx.com/metformin,C
5,USA,0.01,USD,list,,2026-01-01,"No-pharmacotherapy comparator: a nominal positive unit price, required because drug_prices.price_local must be > 0 and TherapyInput rejects a non-positive unit price. It never reaches the total, since units_per_admin = 0 zeroes the acquisition term.",https://example.invalid/no-pharmacotherapy,A
1,DEU,31.448958,EUR,list,,2023-07-01,"Wegovy (semaglutide 2.4 mg) German launch list price EUR 301.91 per 28-day package (4 weekly pens at the 2.4 mg maintenance dose = 9.6 mg); converted to EUR/mg. Announced by Novo Nordisk at German launch, July 2023, and independently corroborated at approximately USD 328/month by the Peterson-KFF Health System Tracker cross-national comparison (17 Aug 2023). A launch list price, not a verified current Lauer-Taxe entry, and European list prices carry confidential rebates that are not reflected here - hence tier B rather than A.",https://www.healthsystemtracker.org/brief/prices-of-drugs-for-weight-loss-in-the-us-and-peer-nations/,B
1,GBR,18.312500,GBP,list,,2024-01-01,"Wegovy (semaglutide 2.4 mg) UK NHS list price GBP 175.80 per month at the 2.4 mg maintenance dose (4 weekly pens = 9.6 mg); converted to GBP/mg. Figure reported consistently across UK pharmacy price comparisons; NOT verified against the BNF or Drug Tariff directly, and NHS commercial arrangements are confidential - stated as tier B, and should be confirmed against the Drug Tariff before this market drives a pricing decision.",https://www.boltpharmacy.co.uk/guide/how-much-does-wegovy-cost,B
